R_Priority,FP,Complexity,Time,Cost,Class
62,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
165,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
131,4,-0.02358071892831195,1.1751897618260156,0.34602704870759515,1
71,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
38,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
87,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
153,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
151,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
56,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
151,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
114,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
69,4,-0.02358071892831195,1.1751897618260156,0.34602704870759515,1
94,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
51,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
156,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
226,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
139,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
113,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
75,2,-1.2446198209349617,-0.8009513335116221,-1.175501732270032,4
95,4,1.1974583830783379,1.1751897618260156,1.563250073489697,5
148,2,1.1974583830783379,-0.8009513335116221,0.04172129251206968,6
62,4,1.1974583830783379,1.1751897618260156,1.563250073489697,5
164,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
124,4,-0.02358071892831195,1.1751897618260156,0.34602704870759515,1
172,4,1.1974583830783379,1.1751897618260156,1.563250073489697,5
125,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
131,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
219,2,1.1974583830783379,-0.8009513335116221,0.04172129251206968,6
180,2,-0.02358071892831195,-0.8009513335116221,-0.5668902198789812,8
98,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
196,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
130,2,1.1974583830783379,-0.8009513335116221,0.04172129251206968,6
64,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
101,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
15,4,-0.02358071892831195,1.1751897618260156,0.34602704870759515,1
132,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
105,4,1.1974583830783379,1.1751897618260156,1.563250073489697,5
90,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
100,2,1.1974583830783379,-0.8009513335116221,0.04172129251206968,6
172,4,1.1974583830783379,1.1751897618260156,1.563250073489697,5
101,4,-0.02358071892831195,1.1751897618260156,0.34602704870759515,1
87,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
89,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
120,2,-0.02358071892831195,-0.8009513335116221,-0.5668902198789812,8
178,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
18,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
154,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
80,2,-0.02358071892831195,-0.8009513335116221,-0.5668902198789812,8
188,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
112,4,1.1974583830783379,1.1751897618260156,1.563250073489697,5
143,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
106,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
146,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
160,4,1.1974583830783379,1.1751897618260156,1.563250073489697,5
147,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
109,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
123,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
172,3,-1.2446198209349617,0.3847333236909606,-0.9929182785527169,2
156,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
186,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
147,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
117,4,-1.2446198209349617,1.1751897618260156,-0.8711959760745067,7
115,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
30,2,1.1974583830783379,-0.8009513335116221,0.04172129251206968,6
111,4,-0.02358071892831195,1.1751897618260156,0.34602704870759515,1
109,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
96,4,-0.02358071892831195,1.1751897618260156,0.34602704870759515,1
95,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
144,3,1.1974583830783379,0.3847333236909606,0.9546385610986461,3
92,3,-0.02358071892831195,0.3847333236909606,-0.019139858727035417,0
104,2,-1.2446198209349617,-0.8009513335116221,-1.175501732270032,4
174,2,1.1974583830783379,-0.8009513335116221,0.04172129251206968,6
