B_Req,R_Priority,FP,Complexity,Time,Cost
0,62,3,-0.023580719,0.3847333236909606,-0.019139859
1,165,3,-0.023580719,0.3847333236909606,-0.019139859
2,131,4,-0.023580719,1.1751897618260156,0.34602704870759515
3,71,3,-1.244619821,0.3847333236909606,-0.992918279
4,38,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
5,87,3,-0.023580719,0.3847333236909606,-0.019139859
6,153,3,-1.244619821,0.3847333236909606,-0.992918279
7,151,3,-0.023580719,0.3847333236909606,-0.019139859
8,56,3,-0.023580719,0.3847333236909606,-0.019139859
9,151,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
10,114,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
11,69,4,-0.023580719,1.1751897618260156,0.34602704870759515
12,94,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
13,51,3,-0.023580719,0.3847333236909606,-0.019139859
14,156,3,-0.023580719,0.3847333236909606,-0.019139859
15,226,3,-1.244619821,0.3847333236909606,-0.992918279
16,139,3,-1.244619821,0.3847333236909606,-0.992918279
17,113,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
18,75,2,-1.244619821,-0.800951334,-1.175501732
19,95,4,1.1974583830783379,1.1751897618260156,1.563250073489697
20,148,2,1.1974583830783379,-0.800951334,0.041721293
21,62,4,1.1974583830783379,1.1751897618260156,1.563250073489697
22,164,4,-1.244619821,1.1751897618260156,-0.871195976
23,124,4,-0.023580719,1.1751897618260156,0.34602704870759515
24,172,4,1.1974583830783379,1.1751897618260156,1.563250073489697
25,125,3,-1.244619821,0.3847333236909606,-0.992918279
26,131,4,-1.244619821,1.1751897618260156,-0.871195976
27,219,2,1.1974583830783379,-0.800951334,0.041721293
28,180,2,-0.023580719,-0.800951334,-0.56689022
29,98,3,-1.244619821,0.3847333236909606,-0.992918279
30,196,3,-1.244619821,0.3847333236909606,-0.992918279
31,130,2,1.1974583830783379,-0.800951334,0.041721293
32,64,3,-0.023580719,0.3847333236909606,-0.019139859
33,101,4,-1.244619821,1.1751897618260156,-0.871195976
34,15,4,-0.023580719,1.1751897618260156,0.34602704870759515
35,132,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
36,105,4,1.1974583830783379,1.1751897618260156,1.563250073489697
37,90,3,-1.244619821,0.3847333236909606,-0.992918279
38,100,2,1.1974583830783379,-0.800951334,0.041721293
39,172,4,1.1974583830783379,1.1751897618260156,1.563250073489697
40,101,4,-0.023580719,1.1751897618260156,0.34602704870759515
41,87,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
42,89,3,-1.244619821,0.3847333236909606,-0.992918279
43,120,2,-0.023580719,-0.800951334,-0.56689022
44,178,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
45,18,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
46,154,3,-0.023580719,0.3847333236909606,-0.019139859
47,80,2,-0.023580719,-0.800951334,-0.56689022
48,188,3,-0.023580719,0.3847333236909606,-0.019139859
49,112,4,1.1974583830783379,1.1751897618260156,1.563250073489697
50,143,4,-1.244619821,1.1751897618260156,-0.871195976
51,106,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
52,146,4,-1.244619821,1.1751897618260156,-0.871195976
53,160,4,1.1974583830783379,1.1751897618260156,1.563250073489697
54,147,3,-0.023580719,0.3847333236909606,-0.019139859
55,109,3,-0.023580719,0.3847333236909606,-0.019139859
56,123,4,-1.244619821,1.1751897618260156,-0.871195976
57,172,3,-1.244619821,0.3847333236909606,-0.992918279
58,156,3,-0.023580719,0.3847333236909606,-0.019139859
59,186,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
60,147,4,-1.244619821,1.1751897618260156,-0.871195976
61,117,4,-1.244619821,1.1751897618260156,-0.871195976
62,115,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
63,30,2,1.1974583830783379,-0.800951334,0.041721293
64,111,4,-0.023580719,1.1751897618260156,0.34602704870759515
65,109,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
66,96,4,-0.023580719,1.1751897618260156,0.34602704870759515
67,95,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
68,144,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
69,92,3,-0.023580719,0.3847333236909606,-0.019139859
70,104,2,-1.244619821,-0.800951334,-1.175501732
71,174,2,1.1974583830783379,-0.800951334,0.041721293
72,125,4,-1.244619821,1.1751897618260156,-0.871195976
73,143,4,-0.023580719,1.1751897618260156,0.34602704870759515
74,116,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
75,90,4,-1.244619821,1.1751897618260156,-0.871195976
76,126,2,-1.244619821,-0.800951334,-1.175501732
77,77,2,1.1974583830783379,-0.800951334,0.041721293
78,104,4,-1.244619821,1.1751897618260156,-0.871195976
79,175,3,-1.244619821,0.3847333236909606,-0.992918279
80,138,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
81,115,2,1.1974583830783379,-0.800951334,0.041721293
82,156,3,-1.244619821,0.3847333236909606,-0.992918279
83,155,2,-1.244619821,-0.800951334,-1.175501732
84,134,2,1.1974583830783379,-0.800951334,0.041721293
85,95,3,-0.023580719,0.3847333236909606,-0.019139859
86,228,2,1.1974583830783379,-0.800951334,0.041721293
87,135,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
88,111,2,-0.023580719,-0.800951334,-0.56689022
89,129,2,-0.023580719,-0.800951334,-0.56689022
90,45,3,-1.244619821,0.3847333236909606,-0.992918279
91,24,2,1.1974583830783379,-0.800951334,0.041721293
92,196,3,-0.023580719,0.3847333236909606,-0.019139859
93,88,2,-0.023580719,-0.800951334,-0.56689022
94,121,3,-0.023580719,0.3847333236909606,-0.019139859
95,62,4,-1.244619821,1.1751897618260156,-0.871195976
96,93,2,-1.244619821,-0.800951334,-1.175501732
97,148,4,-1.244619821,1.1751897618260156,-0.871195976
98,55,3,-1.244619821,0.3847333236909606,-0.992918279
99,168,4,-1.244619821,1.1751897618260156,-0.871195976
100,91,4,-1.244619821,1.1751897618260156,-0.871195976
101,157,3,-1.244619821,0.3847333236909606,-0.992918279
102,167,2,1.1974583830783379,-0.800951334,0.041721293
103,165,2,1.1974583830783379,-0.800951334,0.041721293
104,146,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
105,120,4,1.1974583830783379,1.1751897618260156,1.563250073489697
106,160,3,-1.244619821,0.3847333236909606,-0.992918279
107,163,4,1.1974583830783379,1.1751897618260156,1.563250073489697
108,79,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
109,101,4,-0.023580719,1.1751897618260156,0.34602704870759515
110,97,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
111,153,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
112,107,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
113,111,4,-1.244619821,1.1751897618260156,-0.871195976
114,174,2,-1.244619821,-0.800951334,-1.175501732
115,98,3,-1.244619821,0.3847333236909606,-0.992918279
116,119,4,-1.244619821,1.1751897618260156,-0.871195976
117,113,3,-1.244619821,0.3847333236909606,-0.992918279
118,131,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
119,91,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
120,139,4,1.1974583830783379,1.1751897618260156,1.563250073489697
121,3,3,-1.244619821,0.3847333236909606,-0.992918279
122,110,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
123,50,4,1.1974583830783379,1.1751897618260156,1.563250073489697
124,106,4,-1.244619821,1.1751897618260156,-0.871195976
125,51,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
126,151,3,-1.244619821,0.3847333236909606,-0.992918279
127,126,3,-1.244619821,0.3847333236909606,-0.992918279
128,88,3,-1.244619821,0.3847333236909606,-0.992918279
129,166,3,-1.244619821,0.3847333236909606,-0.992918279
130,141,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
131,64,2,-1.244619821,-0.800951334,-1.175501732
132,131,4,1.1974583830783379,1.1751897618260156,1.563250073489697
133,130,2,-1.244619821,-0.800951334,-1.175501732
134,144,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
135,57,2,1.1974583830783379,-0.800951334,0.041721293
136,208,3,-1.244619821,0.3847333236909606,-0.992918279
137,166,2,-1.244619821,-0.800951334,-1.175501732
138,181,4,1.1974583830783379,1.1751897618260156,1.563250073489697
139,118,4,-0.023580719,1.1751897618260156,0.34602704870759515
140,183,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
141,111,3,-0.023580719,0.3847333236909606,-0.019139859
142,60,3,-0.023580719,0.3847333236909606,-0.019139859
143,150,2,1.1974583830783379,-0.800951334,0.041721293
144,99,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
145,76,2,-1.244619821,-0.800951334,-1.175501732
146,193,4,1.1974583830783379,1.1751897618260156,1.563250073489697
147,141,2,-1.244619821,-0.800951334,-1.175501732
148,114,3,-1.244619821,0.3847333236909606,-0.992918279
149,137,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
150,139,3,-0.023580719,0.3847333236909606,-0.019139859
151,124,2,-1.244619821,-0.800951334,-1.175501732
152,116,4,-1.244619821,1.1751897618260156,-0.871195976
153,81,2,-0.023580719,-0.800951334,-0.56689022
154,237,2,-0.023580719,-0.800951334,-0.56689022
155,135,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
156,167,2,1.1974583830783379,-0.800951334,0.041721293
157,89,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
158,180,3,-0.023580719,0.3847333236909606,-0.019139859
159,234,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
160,70,3,-1.244619821,0.3847333236909606,-0.992918279
161,138,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
162,70,2,-0.023580719,-0.800951334,-0.56689022
163,125,4,1.1974583830783379,1.1751897618260156,1.563250073489697
164,196,4,-0.023580719,1.1751897618260156,0.34602704870759515
165,96,4,1.1974583830783379,1.1751897618260156,1.563250073489697
166,200,3,-1.244619821,0.3847333236909606,-0.992918279
167,118,4,-0.023580719,1.1751897618260156,0.34602704870759515
168,168,4,-0.023580719,1.1751897618260156,0.34602704870759515
169,122,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
170,89,3,-0.023580719,0.3847333236909606,-0.019139859
171,119,4,-1.244619821,1.1751897618260156,-0.871195976
172,154,2,-1.244619821,-0.800951334,-1.175501732
173,102,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
174,199,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
175,167,4,-0.023580719,1.1751897618260156,0.34602704870759515
176,135,4,-0.023580719,1.1751897618260156,0.34602704870759515
177,122,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
178,35,4,-1.244619821,1.1751897618260156,-0.871195976
179,154,4,-0.023580719,1.1751897618260156,0.34602704870759515
180,137,4,1.1974583830783379,1.1751897618260156,1.563250073489697
181,131,3,-1.244619821,0.3847333236909606,-0.992918279
182,141,4,1.1974583830783379,1.1751897618260156,1.563250073489697
183,170,3,-1.244619821,0.3847333236909606,-0.992918279
184,112,2,1.1974583830783379,-0.800951334,0.041721293
185,104,2,-0.023580719,-0.800951334,-0.56689022
186,204,2,1.1974583830783379,-0.800951334,0.041721293
187,110,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
188,135,3,-0.023580719,0.3847333236909606,-0.019139859
189,52,3,-1.244619821,0.3847333236909606,-0.992918279
190,192,3,-0.023580719,0.3847333236909606,-0.019139859
191,139,2,-0.023580719,-0.800951334,-0.56689022
