R_Priority,FP,Complexity,Time,Cost,Class
62,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
165,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
131,4,-0.022891673301040322,1.249559116203251,0.355942068431323,2
71,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
38,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
87,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
153,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
151,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
56,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
151,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
114,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
69,4,-0.022891673301040322,1.249559116203251,0.355942068431323,2
94,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
51,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
156,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
226,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
139,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
113,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
75,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
95,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
148,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,0
62,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
164,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,2
124,4,-0.022891673301040322,1.249559116203251,0.355942068431323,2
172,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
125,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
131,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,2
219,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,0
180,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,0
98,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
196,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
130,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,0
64,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,2
101,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,2
15,4,-0.022891673301040322,1.249559116203251,0.355942068431323,2
132,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
105,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
90,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,2
